"","V1"
"___2",4
"___2",2
"___2",1
"___2",9
"___3",9
"___2",9
"___3",9
"___2",11
"___2",1
"___2",3
"___2",9
"___3",9
"___2",10
"___2",3
"___2",11
"___2",9
"___2",11
"___2",11
"___2",10
"___3",10
"___4",10
"___2",9
"___2",9
"___2",9
"___2",11
"___2",8
"___2",7
"___2",11
"___2",13
"___3",13
"___2",13
"___3",13
"___4",13
"___2",3
"___3",13
"___2",7
"___3",11
"___2",13
"___2",13
"___3",13
"___2",9
"___2",11
"___2",13
"___3",2
"___2",13
"___2",8
"___2",1
"___3",2
"___2",3
"___2",3
"___2",3
"___2",9
"___2",13
"___2",2
"___2",2
"___2",2
"___2",1
"___2",7
"___2",9
"___2",3
"___2",13
"___2",4
"___2",3
"___2",9
"___3",9
"___2",9
"___2",9
"___2",12
"___2",9
"___2",6
"___2",3
"___2",13
"___2",3
"___2",9
"___2",8
"___2",9
"___2",1
"___2",9
"___2",4
"___2",2
"___2",12
"___2",2
"___2",8
"___2",12
"___2",4
"___2",3
"___2",13
"___3",13
"___4",13
"___5",13
"___6",13
"___7",13
"___2",3
"___3",11
"___2",6
"___2",12
"___2",12
"___2",5
"___2",13
"___2",1
"___2",8
"___2",13
"___2",7
"___2",2
"___2",13
"___2",12
"___2",6
"___2",12
"___2",3
"___2",4
"___2",8
"___2",4
"___2",2
"___2",12
"___2",12
"___2",4
"___2",4
"___2",4
"___2",4
"___2",5
"___2",3
"___2",9
"___2",4
"___2",1
"___2",9
"___2",4
"___2",9
"___2",12
"___2",4
"___2",2
"___2",2
"___2",4
"___2",4
"___2",2
"___2",12
"___2",12
"___2",12
"___2",2
"___2",12
"___2",3
"___2",12
"___2",12
"___2",2
"___2",5
"___2",4
"___2",4
"___2",12
"___2",12
"___2",2
"___2",2
"___2",2
"___3",2
"___2",4
"___2",2
"___2",4
"___2",12
"___2",12
"___2",2
"___2",4
"___2",7
"___2",6
"___2",12
"___2",12
"___2",12
"___2",12
"___2",12
"___3",9
"___2",12
"___2",12
"___2",12
"___2",2
"___2",9
"___2",12
"___2",12
"___2",13
"___2",12
"___2",12
"___2",4
"___2",12
"___2",12
"___2",4
"___2",2
"___2",2
"___3",4
"___2",4
"___3",12
"___2",2
"___2",2
"___2",9
"___2",2
"___2",2
"___2",12
"___3",12
"___4",12
"___2",11
"___2",2
"___2",4
"___2",4
"___2",2
"___2",13
"___2",4
"___2",12
"___2",4
"___2",6
"___2",12
"___2",2
"___2",2
"___2",12
"___3",12
"___2",4
"___2",4
"___2",9
"___3",9
"___2",4
"___2",4
"___2",4
"___2",4
"___2",3
"___2",1
"___2",4
"___2",10
"___2",2
"___2",4
"___2",9
"___2",4
"___2",11
"___2",13
"___2",12
"___2",3
"___2",12
"___2",4
"___2",4
"___2",9
"___2",4
"___2",3
"___2",3
"___2",2
"___2",3
"___2",3
"___2",3
"___2",11
"___2",3
"___2",2
"___2",11
"___2",11
"___2",10
"___2",3
"___2",7
"___2",8
"___2",4
"___2",3
"___2",9
"___2",3
"___2",3
"___2",3
"___2",3
"___2",3
"___2",3
"___2",11
"___3",11
"___2",1
"___2",6
"___2",4
"___2",9
"___2",3
"___2",11
"___2",10
"___2",1
"___2",10
"___2",1
"___2",11
"___2",11
"___2",11
"___2",3
"___2",13
"___2",5
"___2",3
"___3",3
"___2",3
"___2",3
"___2",3
"___3",3
"___2",3
"___3",3
"___2",3
"___2",3
"___2",9
"___2",6
"___2",1
"___2",3
"___2",11
"___2",13
"___2",9
"___2",10
"___3",6
"___2",6
"___3",10
"___2",13
"___2",3
"___2",11
"___2",13
"___2",2
"___2",13
"___2",3
"___2",3
"___2",11
"___2",2
"___2",4
"___2",13
"___3",7
"___2",8
"___2",7
"___2",4
"___3",8
"___2",9
"___2",12
"___2",8
"___2",4
"___2",3
"___2",11
"___2",11
"___2",11
"___2",9
"___3",9
"___3",9
